location,primary,secondary
LMCA-A2,Forested,Open-Closed
LMCA-S8,Shrubby,Open
LMCA-A4,Forested,Open-Closed
LMCA-S10,Open,Open
LMCA-S9,Forested,Open-Closed
LMCA-S3,Forested,Open-Closed
LMCA-L2,Shrubby,Open
LMCA-A1,Forested,Open-Open
LMCA-A4B,Forested,Closed-Closed
LMCA-D8,Forested,Open-Open
LMCA-D6,Open,Open
LMCA-D10,Open,Open
LMCA-D9,Forested,Open-Open
LMCA-D11,Forested,Open-Open
